,0
446,STEAM_0:0:175640909
447,STEAM_0:1:58418551
448,STEAM_0:0:50170796
449,STEAM_0:1:17297632
450,STEAM_0:1:9598657
451,STEAM_0:1:501874748
452,STEAM_0:0:660362784
453,STEAM_0:1:603740626
454,STEAM_0:0:518567
455,STEAM_0:1:201708333
456,STEAM_0:0:37308020
457,STEAM_0:0:728742943
458,STEAM_0:0:756371440
459,STEAM_0:1:123513682
460,STEAM_0:0:143446413
461,STEAM_0:0:487349363
462,STEAM_0:0:208863861
463,STEAM_0:1:733299190
464,STEAM_0:1:148828733
465,STEAM_0:1:97169739
466,STEAM_0:1:452152168
467,STEAM_0:1:518691194
468,STEAM_0:0:678148823
469,STEAM_0:0:621970713
470,STEAM_0:0:18659144
471,STEAM_0:0:646784061
472,STEAM_0:0:457575862
473,STEAM_0:0:533403434
474,STEAM_0:1:737633924
475,STEAM_0:1:52715829
476,err_10476
477,STEAM_0:1:76134996
478,STEAM_0:1:483206836
479,STEAM_0:1:758943916
480,STEAM_0:1:20684739
481,STEAM_0:1:200657453
482,STEAM_0:0:515837460
483,STEAM_0:1:640598897
484,STEAM_0:0:603853393
485,STEAM_0:1:434912918
486,STEAM_0:1:202472291
487,STEAM_0:1:645749813
488,STEAM_0:1:96172954
489,STEAM_0:0:434996943
490,STEAM_0:0:78666355
491,STEAM_0:1:656076743
492,STEAM_0:0:759665976
493,STEAM_0:1:619031623
494,STEAM_0:0:241739243
495,STEAM_0:0:670271810
496,STEAM_0:1:88479640
497,STEAM_0:1:759469060
498,err_10498
499,STEAM_0:1:607494744
500,STEAM_0:0:92097996
501,STEAM_0:0:712028202
502,STEAM_0:0:759748455
503,err_10503
504,STEAM_0:0:19942193
505,STEAM_0:0:430407895
506,STEAM_0:0:465952814
507,STEAM_0:0:507645424
508,STEAM_0:1:225509606
509,STEAM_0:0:233797390
510,STEAM_0:0:33252680
511,STEAM_0:0:636779072
512,STEAM_0:0:71205174
513,STEAM_0:1:74214894
514,STEAM_0:0:228969370
515,STEAM_0:1:85419191
516,STEAM_0:0:582201467
517,STEAM_0:1:81412926
518,STEAM_0:1:211232230
519,STEAM_0:0:58037538
520,STEAM_0:0:637904481
521,STEAM_0:0:739477135
522,STEAM_0:0:695050270
523,STEAM_0:0:164907946
524,STEAM_0:0:759770372
525,STEAM_0:1:57257157
526,STEAM_0:0:243904999
527,STEAM_0:1:93468567
528,STEAM_0:0:91749161
529,STEAM_0:0:43470495
530,STEAM_0:0:205420935
531,STEAM_0:1:201859953
532,STEAM_0:0:470787411
533,STEAM_0:0:670955585
534,STEAM_0:0:118771037
535,STEAM_0:0:505389348
536,STEAM_0:1:633222250
537,STEAM_0:0:52148076
538,STEAM_0:1:752572966
539,STEAM_0:1:239072434
540,STEAM_0:0:35133318
541,STEAM_0:1:700531011
542,STEAM_0:1:150566884
543,STEAM_0:0:39878035
544,STEAM_0:1:580997327
545,STEAM_0:1:117047069
546,STEAM_0:0:659646320
547,STEAM_0:1:61852886
548,STEAM_0:1:203352601
549,STEAM_0:0:85926184
550,STEAM_0:0:559449873
551,STEAM_0:1:70207603
552,STEAM_0:1:241620257
553,STEAM_0:1:103455888
554,STEAM_0:0:760584910
555,STEAM_0:1:226968408
556,STEAM_0:0:219730538
557,STEAM_0:1:760650567
558,STEAM_0:0:656920269
559,STEAM_0:0:531429871
560,STEAM_0:0:620797132
561,STEAM_0:1:760866184
562,STEAM_0:0:113879709
563,STEAM_0:0:534185045
564,STEAM_0:0:65627360
565,STEAM_0:1:591454498
566,STEAM_0:0:528838492
567,STEAM_0:0:757919346
568,STEAM_0:0:693892551
569,STEAM_0:1:760799721
570,STEAM_0:1:617620580
571,STEAM_0:1:94865705
572,STEAM_0:0:518197359
573,STEAM_0:0:59790979
574,STEAM_0:0:235149960
575,STEAM_0:1:423242627
576,STEAM_0:0:201756987
577,STEAM_0:0:244495829
578,STEAM_0:0:71228312
579,STEAM_0:1:598190455
580,STEAM_0:1:531428848
581,STEAM_0:0:242125843
582,STEAM_0:1:501312998
583,STEAM_0:1:443749404
584,STEAM_0:0:633278794
585,STEAM_0:1:753274865
586,STEAM_0:1:434315356
587,STEAM_0:0:27492367
588,STEAM_0:1:236365921
589,STEAM_0:0:51841978
590,STEAM_0:1:609636282
591,STEAM_0:0:761530341
592,STEAM_0:1:441242866
593,STEAM_0:1:217481311
594,STEAM_0:1:56984249
595,STEAM_0:0:581147765
