,0
603,STEAM_0:1:663636271
604,STEAM_0:0:567486628
605,STEAM_0:0:596781408
606,STEAM_0:1:796074512
607,STEAM_0:1:32932478
608,STEAM_0:0:623993016
609,STEAM_0:0:621954687
610,STEAM_0:1:22864110
611,STEAM_0:0:67768047
612,STEAM_0:0:191768949
613,STEAM_0:0:12031846
614,STEAM_0:1:114972389
615,STEAM_0:0:150422781
616,STEAM_0:1:864989333
617,STEAM_0:0:718015050
618,STEAM_0:0:663795549
619,STEAM_0:1:741320949
620,STEAM_0:0:139187214
621,STEAM_0:0:130225292
622,STEAM_0:1:663547639
623,STEAM_0:1:151319802
624,STEAM_0:1:235843477
625,STEAM_0:0:600004303
626,STEAM_0:0:463717086
627,STEAM_0:0:444395057
628,STEAM_0:1:98861311
629,STEAM_0:0:149420049
630,STEAM_0:0:20700248
631,STEAM_0:1:641728500
632,STEAM_0:0:811519369
633,STEAM_0:0:58626325
634,STEAM_0:0:44563125
635,STEAM_0:0:186919721
636,STEAM_0:0:783580508
637,STEAM_0:0:209802515
638,STEAM_0:1:196607054
639,STEAM_0:0:557666936
640,STEAM_0:1:115458933
641,STEAM_0:1:186095003
642,STEAM_0:1:426206212
643,STEAM_0:1:757937098
644,STEAM_0:1:642098665
645,STEAM_0:1:444861676
646,STEAM_0:0:868368695
647,STEAM_0:1:56898008
648,STEAM_0:1:830697161
649,STEAM_0:1:202496000
650,STEAM_0:1:516359155
651,STEAM_0:0:422116886
652,STEAM_0:1:218389940
653,STEAM_0:1:627163005
654,STEAM_0:0:173706571
655,STEAM_0:0:93000272
656,STEAM_0:0:451726174
657,STEAM_0:1:242931159
658,STEAM_0:0:159719823
659,STEAM_0:0:205874104
660,STEAM_0:1:590842063
661,STEAM_0:1:519036128
662,STEAM_0:1:90290200
663,STEAM_0:1:224725447
664,STEAM_0:1:53601626
665,STEAM_0:0:49364587
666,STEAM_0:1:215591818
667,STEAM_0:1:657758749
668,STEAM_0:0:544348110
669,STEAM_0:1:596318832
670,STEAM_0:1:70331013
671,STEAM_0:1:187410757
672,STEAM_0:0:724442062
673,STEAM_0:1:518359315
674,STEAM_0:1:500384282
675,STEAM_0:1:536599820
676,STEAM_0:0:426873002
677,STEAM_0:1:591179113
678,STEAM_0:1:816458820
679,STEAM_0:1:54734318
680,STEAM_0:1:505959329
681,STEAM_0:1:771656709
682,STEAM_0:1:677868257
683,STEAM_0:0:663583412
684,STEAM_0:1:183668102
685,STEAM_0:0:448640524
686,STEAM_0:1:695788787
687,STEAM_0:0:779591587
688,STEAM_0:0:49588619
689,STEAM_0:0:2661555
690,STEAM_0:1:236079251
691,STEAM_0:1:70055737
692,STEAM_0:0:654842034
693,STEAM_0:0:220552389
694,STEAM_0:0:711926343
695,STEAM_0:0:559392318
696,STEAM_0:1:625431849
697,STEAM_0:0:536318478
698,STEAM_0:0:586685796
699,STEAM_0:0:145367098
700,STEAM_0:1:712599010
701,STEAM_0:0:803556053
702,STEAM_0:0:20916823
703,STEAM_0:0:138956650
704,STEAM_0:0:651549005
705,STEAM_0:1:867597119
706,STEAM_0:1:425658
707,STEAM_0:1:113311245
708,STEAM_0:1:584013654
709,STEAM_0:1:92704712
