,0
361,STEAM_0:0:221645667
362,STEAM_0:1:74613889
363,STEAM_0:0:40921373
364,STEAM_0:0:166934604
365,STEAM_0:0:242405092
366,STEAM_0:1:459450298
367,STEAM_0:1:231022701
368,STEAM_0:1:63806416
369,STEAM_0:0:141170025
370,STEAM_0:1:506732408
371,STEAM_0:1:237395000
372,STEAM_0:0:538506613
373,STEAM_0:0:171404314
374,STEAM_0:1:229073852
375,STEAM_0:1:58094549
376,STEAM_0:1:79288547
377,STEAM_0:1:117105726
378,STEAM_0:0:144342805
379,STEAM_0:1:152146958
380,STEAM_0:1:118073585
381,STEAM_0:0:98509369
382,STEAM_0:0:26940528
383,STEAM_0:0:79117115
384,STEAM_0:1:116284461
385,STEAM_0:0:199459924
386,STEAM_0:1:241723321
387,STEAM_0:0:539975951
388,STEAM_0:1:147303361
389,STEAM_0:0:98796044
390,STEAM_0:1:434530914
391,STEAM_0:0:106564661
392,STEAM_0:0:99269749
393,STEAM_0:0:446629204
394,STEAM_0:0:215199569
395,STEAM_0:0:145373384
396,STEAM_0:0:525681904
397,STEAM_0:1:171133085
398,STEAM_0:0:502267511
399,STEAM_0:0:208612329
400,STEAM_0:0:225600662
401,STEAM_0:0:443802717
402,STEAM_0:0:221072868
403,STEAM_0:0:121170300
404,STEAM_0:0:52481961
405,STEAM_0:1:439567512
406,STEAM_0:0:527626222
407,STEAM_0:1:58863098
408,STEAM_0:0:34701785
409,STEAM_0:1:49435596
410,STEAM_0:1:79279128
411,STEAM_0:0:71110658
412,STEAM_0:0:475443308
413,STEAM_0:0:90086305
414,STEAM_0:0:211842247
415,STEAM_0:0:78000564
416,STEAM_0:0:515923603
417,STEAM_0:1:420977691
418,STEAM_0:0:59476298
419,STEAM_0:0:509478850
420,STEAM_0:0:233116025
421,STEAM_0:1:99139582
422,STEAM_0:0:70435743
423,STEAM_0:0:426543591
424,STEAM_0:0:55972459
425,STEAM_0:1:506579880
426,STEAM_0:0:167000744
427,STEAM_0:0:151336090
428,STEAM_0:1:532453637
429,STEAM_0:1:62132719
430,STEAM_0:1:20008534
431,STEAM_0:1:73125141
432,STEAM_0:1:526477443
433,STEAM_0:1:94827352
434,STEAM_0:0:214565793
435,STEAM_0:1:125945504
436,STEAM_0:0:201602302
437,STEAM_0:0:535634838
438,STEAM_0:0:229354195
439,STEAM_0:0:517870758
440,STEAM_0:0:162242048
441,STEAM_0:1:73207658
442,STEAM_0:0:426515774
443,STEAM_0:1:423874107
444,STEAM_0:0:231049261
445,STEAM_0:0:163649331
446,STEAM_0:1:93427857
447,STEAM_0:0:146435360
448,STEAM_0:1:205073298
449,STEAM_0:1:205842565
450,STEAM_0:1:103593333
451,STEAM_0:1:532061468
452,STEAM_0:1:187785321
453,STEAM_0:0:144113107
454,STEAM_0:0:507715826
455,STEAM_0:0:495063249
456,STEAM_0:0:235064065
457,STEAM_0:0:63790990
458,STEAM_0:0:243923456
459,STEAM_0:0:43442906
460,STEAM_0:0:71549653
461,STEAM_0:0:40402370
462,STEAM_0:1:27675807
463,STEAM_0:1:45272472
464,STEAM_0:0:70777202
465,STEAM_0:1:206863681
466,STEAM_0:0:78405524
467,STEAM_0:1:163023970
468,STEAM_0:0:199722245
469,STEAM_0:1:533439424
470,STEAM_0:1:53862146
471,STEAM_0:0:86071597
472,STEAM_0:1:156883452
473,STEAM_0:0:80763723
474,STEAM_0:0:235735605
475,STEAM_0:0:429696417
476,STEAM_0:0:44588762
477,STEAM_0:1:213603423
478,STEAM_0:1:85893906
479,STEAM_0:1:454086766
480,STEAM_0:0:495206299
481,STEAM_0:1:514835881
482,STEAM_0:0:72052699
483,STEAM_0:1:20880388
484,STEAM_0:0:190431778
485,STEAM_0:1:32914965
486,STEAM_0:1:190062466
487,STEAM_0:0:155790640
488,STEAM_0:0:55930703
489,STEAM_0:0:91331420
490,STEAM_0:1:536271176
491,STEAM_0:0:427863237
492,STEAM_0:0:522573854
493,STEAM_0:1:220508108
494,STEAM_0:0:34593422
495,STEAM_0:0:73241746
496,STEAM_0:0:40621281
497,STEAM_0:0:549750638
498,STEAM_0:0:76312537
